stock,total_trades,profit_count,loss_count,win_rate,top_profit_ratios,top_loss_ratios,代號,股票名稱
1516.TW,16,5,11,31.25,"39.83%, 9.85%, 2.85%","-13.48%, -10.68%, -10.15%",1516.TW,川飛
1517.TW,13,2,11,15.384615384615385,"3.34%, 2.46%","-10.81%, -10.47%, -8.11%",1517.TW,利奇
1519.TW,10,4,6,40.0,"275.61%, 190.14%, 33.27%","-13.23%, -10.32%, -6.82%",1519.TW,華城
1521.TW,14,2,12,14.285714285714285,"14.57%, 6.80%","-10.90%, -5.71%, -5.62%",1521.TW,大億
1522.TW,10,6,4,60.0,"71.19%, 18.00%, 16.17%","-4.56%, -4.29%, -1.90%",1522.TW,堤維西
1524.TW,12,6,6,50.0,"88.76%, 44.35%, 16.32%","-5.82%, -5.62%, -5.59%",1524.TW,耿鼎
1525.TW,13,6,7,46.15384615384615,"80.51%, 8.48%, 3.66%","-7.16%, -4.52%, -4.07%",1525.TW,江申
1526.TW,15,7,8,46.666666666666664,"21.35%, 9.52%, 1.29%","-8.67%, -5.20%, -4.61%",1526.TW,日馳
1527.TW,13,6,7,46.15384615384615,"3.35%, 1.98%, 1.38%","-6.98%, -3.07%, -1.40%",1527.TW,鑽全
1528.TW,12,8,4,66.66666666666666,"21.14%, 11.84%, 10.97%","-7.55%, -6.48%, -2.83%",1528.TW,恩德
1529.TW,13,4,9,30.76923076923077,"118.23%, 8.68%, 4.85%","-34.99%, -11.45%, -8.21%",1529.TW,樂事綠能
1530.TW,17,4,13,23.52941176470588,"5.78%, 5.73%, 4.01%","-4.51%, -3.17%, -2.57%",1530.TW,亞崴
1531.TW,14,4,10,28.57142857142857,"8.52%, 2.30%, 0.73%","-10.85%, -3.86%, -2.21%",1531.TW,高林股
1532.TW,15,7,8,46.666666666666664,"20.29%, 16.89%, 6.76%","-9.30%, -9.09%, -5.90%",1532.TW,勤美
1533.TW,13,4,9,30.76923076923077,"13.97%, 4.94%, 4.24%","-6.81%, -4.78%, -3.45%",1533.TW,車王電
1535.TW,11,6,5,54.54545454545454,"25.33%, 23.22%, 8.59%","-6.72%, -4.85%, -2.79%",1535.TW,中宇
1536.TW,16,5,11,31.25,"9.93%, 3.27%, 2.82%","-11.13%, -9.21%, -7.23%",1536.TW,和大
1537.TW,15,8,7,53.333333333333336,"6.11%, 5.44%, 3.73%","-3.38%, -2.52%, -1.88%",1537.TW,廣隆
1538.TW,13,7,6,53.84615384615385,"23.95%, 18.75%, 12.81%","-10.99%, -5.03%, -2.25%",1538.TW,正峰
1539.TW,12,6,6,50.0,"44.92%, 28.84%, 13.70%","-8.45%, -3.10%, -2.37%",1539.TW,巨庭
